"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-04","2025","02","04","","0.6","","-8.1","","-3.7","","21.7","","0.0","","","","","","0.0","","6","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-05","2025","02","05","","-3.6","","-8.1","","-5.8","","23.8","","0.0","","","","","","0.0","","7","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-06","2025","02","06","","1.4","","-3.6","","-1.1","","19.1","","0.0","","","","","","3.1","","7","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-07","2025","02","07","","-0.6","","-6.9","","-3.8","","21.8","","0.0","","","","","","0.0","","9","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-08","2025","02","08","","-1.3","","-6.4","","-3.8","","21.8","","0.0","","","","","","6.1","","9","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-09","2025","02","09","","0.8","","-4.8","","-2.0","","20.0","","0.0","","","","","","1.9","","21","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-10","2025","02","10","","-2.2","","-7.2","","-4.7","","22.7","","0.0","","","","","","0.0","","17","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-11","2025","02","11","","-0.5","","-8.6","","-4.5","","22.5","","0.0","","","","","","0.0","","16","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-12","2025","02","12","","-3.2","","-8.2","","-5.7","","23.7","","0.0","","","","","","13.3","","14","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-13","2025","02","13","","-1.5","","-5.9","","-3.7","","21.7","","0.0","","","","","","10.5","","34","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-14","2025","02","14","","-3.3","","-6.7","","-5.0","","23.0","","0.0","","","","","","0.0","","31","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-15","2025","02","15","","-1.0","","-5.3","","-3.2","","21.2","","0.0","","","","","","9.0","","30","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-16","2025","02","16","","-3.8","","-8.1","","-6.0","","24.0","","0.0","","","","","","17.3","","39","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-17","2025","02","17","","-5.7","","-11.5","","-8.6","","26.6","","0.0","","","","","","0.0","","46","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-18","2025","02","18","","-5.9","","-12.5","","-9.2","","27.2","","0.0","","","","","","0.0","","42","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-19","2025","02","19","","-5.7","","-10.6","","-8.1","","26.1","","0.0","","","","","","0.0","","39","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-20","2025","02","20","","-6.7","","-10.5","","-8.6","","26.6","","0.0","","","","","","0.1","","38","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-21","2025","02","21","","-4.9","","-11.7","","-8.3","","26.3","","0.0","","","","","","0.0","","37","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-22","2025","02","22","","-0.3","","-6.3","","-3.3","","21.3","","0.0","","","","","","0.2","","36","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-23","2025","02","23","","2.0","","-2.3","","-0.1","","18.1","","0.0","","","","","","0.0","","35","","","M","","M"
